Turnout,VolandovPercent
0.5707,0.6541
0.6046,0.6209
0.7442,0.7028
0.6847,0.6692
0.5491,0.6213
0.6922,0.627
0.6712,0.6377
0.584,0.6201
0.6394,0.5945
0.6268,0.5965
0.5119,0.5511
0.6176,0.6234
0.6116,0.589
0.6572,0.6086
0.5897,0.5361
0.4713,0.5555
0.5575,0.5911
0.5928,0.6124
0.4673,0.508
0.5438,0.5622
0.4735,0.532
0.5602,0.5796
0.5422,0.5847
0.5797,0.6098
0.6929,0.6412
0.632,0.648
0.607,0.6134
0.7391,0.6848
0.5691,0.5446
0.5467,0.5584
0.5304,0.5378
0.5543,0.5625
0.6289,0.5563
0.5011,0.548
0.6954,0.6094
0.5559,0.6186
0.5751,0.6002
0.5687,0.56
0.5651,0.5677
0.5588,0.5841
0.5436,0.5537
0.6612,0.5967
0.6821,0.6566
0.537,0.5318
0.6144,0.6069
0.7156,0.6339
0.5539,0.562
0.5442,0.6138
0.4923,0.5217
0.5111,0.5402
0.7285,0.6363
0.5223,0.5709
0.5117,0.5482
0.4395,0.5208
0.5997,0.6
0.5757,0.5674
0.5328,0.5856
0.5118,0.5491
0.6038,0.5499
0.5724,0.5397
0.6148,0.5834
0.5551,0.5454
0.6294,0.5531
0.705,0.5652
0.5663,0.5583
0.4698,0.5613
0.6028,0.6421
0.6653,0.5784
0.5939,0.5814
0.6534,0.6257
0.6186,0.5554
0.5337,0.5784
0.5554,0.6053
0.4665,0.5576
0.5788,0.5653
0.4998,0.5547
0.6855,0.6237
0.6529,0.637
0.6408,0.6136
0.7621,0.6549
0.7736,0.6745
0.6667,0.621
0.5252,0.6211
0.6904,0.6416
0.5775,0.546
0.7538,0.6578
0.6061,0.595
0.6808,0.6365
0.6458,0.661
0.6735,0.6755
0.5568,0.5949
0.5336,0.6084
0.6417,0.5994
0.6264,0.6195
0.6425,0.6269
0.6297,0.5947
0.6763,0.6039
0.667,0.5993
0.5274,0.5674
0.6241,0.6085
0.6305,0.5912
0.6942,0.668
0.7038,0.6348
0.5983,0.5751
0.639,0.5679
0.6651,0.5874
0.6747,0.567
0.5874,0.5564
0.6252,0.5881
0.5974,0.6233
0.5421,0.5988
0.6527,0.5891
0.4946,0.507
0.5508,0.5528
0.5822,0.5576
0.5348,0.5705
0.5597,0.5994
0.5565,0.6117
0.5632,0.6151
0.5513,0.5655
0.5742,0.588
0.5751,0.5724
0.6089,0.6157
0.6017,0.5461
0.63,0.5777
0.6052,0.5635
0.547,0.5728
0.5466,0.5605
0.5363,0.5203
0.536,0.5724
0.6053,0.6014
0.6736,0.6585
0.7801,0.7089
0.6929,0.6924
0.7675,0.7456
0.6246,0.7509
0.7312,0.6529
0.6337,0.7242
0.7505,0.6815
0.6712,0.6446
0.7194,0.7172
0.6722,0.6534
0.5651,0.6316
0.7206,0.6904
0.7935,0.7192
0.6732,0.7296
0.688,0.7437
0.8052,0.7586
0.7377,0.7659
0.7814,0.7651
0.8057,0.7981
0.7581,0.7449
0.6594,0.7509
0.7639,0.779
0.7143,0.7709
0.7785,0.7729
0.7522,0.7393
0.8232,0.7033
0.7281,0.7412
0.6638,0.6879
0.6433,0.6954
0.8167,0.7816
0.7657,0.7194
0.6955,0.7714
0.8375,0.7811
0.7384,0.7454
0.771,0.7268
0.7897,0.7619
0.7069,0.7367
0.7046,0.7882
0.6889,0.7371
0.6895,0.7548
0.6776,0.7508
0.8695,0.7941
0.8656,0.7614
0.7914,0.7266
0.7664,0.7525
0.7216,0.7488
0.6879,0.7406
0.8642,0.7656
0.8485,0.7335
0.8158,0.7787
0.7458,0.7304
0.7603,0.7343
0.7899,0.7634
0.7124,0.7363
0.7329,0.755
0.7649,0.7574
0.7545,0.7863
0.775,0.6958
0.7869,0.7487
0.8063,0.7715
0.7739,0.7856
0.7456,0.7357
0.6584,0.7393
0.7187,0.7439
0.7834,0.7772
0.6242,0.7049
0.8192,0.7536
0.7817,0.7856
0.7425,0.8069
0.7757,0.7911
0.6919,0.7095
0.6937,0.729
0.786,0.7939
0.7722,0.7562
0.733,0.6778
0.7746,0.7757
0.7915,0.7787
0.7812,0.7668
0.6874,0.7677
0.6666,0.7696
0.7993,0.8066
0.6189,0.5721
0.6967,0.5972
0.6551,0.6231
0.5612,0.5728
0.5861,0.6434
0.5204,0.5801
0.6214,0.558
0.4812,0.5686
0.6312,0.6027
0.5494,0.559
0.5866,0.6011
0.6086,0.579
0.6169,0.6155
0.602,0.6318
0.5854,0.5905
0.5998,0.6178
0.6775,0.6717
0.5604,0.596
0.5426,0.5288
0.6297,0.6364
0.6826,0.6033
0.6654,0.607
0.536,0.5549
0.6082,0.6181
0.5952,0.6564
0.5019,0.5774
0.7209,0.5819
0.6346,0.6167
0.6388,0.638
0.5517,0.6235
0.6503,0.6105
0.714,0.6396
0.6314,0.6644
0.6504,0.6228
0.7229,0.7205
0.5862,0.602
0.6388,0.6978
0.7026,0.6322
0.6552,0.6628
0.6882,0.6518
0.6979,0.614
0.5809,0.6196
0.6464,0.635
0.578,0.632
0.6667,0.6213
0.5821,0.5933
0.5892,0.6516
0.6761,0.6211
0.6387,0.6339
0.5242,0.5527
0.6752,0.6978
0.6486,0.5948
0.5659,0.6166
0.585,0.6089
0.5798,0.5959
0.5776,0.5801
0.6287,0.6647
0.4849,0.5627
0.6797,0.6797
0.6047,0.6797
0.6387,0.6527
0.6367,0.6097
0.5927,0.6427
0.569,0.6579
0.6417,0.7157
0.6486,0.6502
0.6927,0.6677
0.6861,0.6677
0.6747,0.6478
0.5864,0.6457
0.6607,0.6627
0.4967,0.5877
0.6197,0.6037
0.7787,0.6991
0.6497,0.61
0.6841,0.6527
0.6674,0.6339
0.759,0.6802
0.663,0.6402
0.6045,0.6023
0.6632,0.6207
0.7037,0.6347
0.7725,0.6773
1.001,0.9997
1.002,1.0075
0.9999,0.9997
1.0083,0.9987
1.001,0.9997
1.002,0.9967
0.9999,0.989
1.0083,0.9957
1.001,0.9981
1.002,1.0038
0.9999,1.0007
1.0083,1.0004
1.001,0.9987
1.002,1.0037
0.9999,1.0007
1.0083,1.0004
0.639,0.6605
0.7223,0.6685
0.6174,0.6027
0.6295,0.6359
0.5939,0.5877
0.7024,0.6601
0.5439,0.6258
0.701,0.6574
0.7794,0.7036
0.669,0.6927
0.6319,0.624
0.7936,0.6877
0.6459,0.6768
0.6181,0.6288
0.6504,0.6449
0.7012,0.6526
0.6756,0.6849
0.7034,0.6242
0.7182,0.6701
0.5195,0.6086
0.6834,0.6425
0.7052,0.6697
0.6708,0.6793
0.6602,0.6738
0.6006,0.6238
0.7238,0.6918
0.6104,0.6104
0.5995,0.6215
0.6074,0.6579
0.6354,0.6616
0.7132,0.6757
0.7529,0.6597
0.5746,0.6618
0.5752,0.6474
0.6661,0.6607
0.6476,0.66
0.584,0.6355
0.4952,0.6118
0.6581,0.6349
0.616,0.6543
0.6178,0.6328
0.6278,0.6614
0.6016,0.6409
0.6182,0.685
0.6746,0.6146
0.7002,0.7007
0.6847,0.704
0.8753,0.7812
0.7736,0.684
0.6998,0.7832
0.6089,0.6656
0.649,0.6946
0.7421,0.7643
0.6758,0.6172
0.6271,0.6236
0.5712,0.6478
0.5844,0.5685
0.5935,0.5794
0.6586,0.6593
0.6165,0.6523
0.6462,0.5844
0.5377,0.5864
0.59,0.6496
0.6548,0.6261
0.6177,0.6321
0.6647,0.6097
0.6557,0.6575
0.6062,0.6379
0.5373,0.6065
0.6388,0.604
0.5728,0.5701
0.5491,0.6113
0.6351,0.6393
